Review Title,Customer name,Rating,Rating_Numeric,Date,Date_Parsed,Category,Comments,Useful,Helpful_Count,Review_Title_Clean,Comments_Clean,Combined_Text,Review_Title_Processed,Comments_Processed,Combined_Text_Processed,Text_Length,Word_Count
Dual 4G support,Manoj Kumar,1.0 out of 5 stars,1.0,on 28 September 2018,2018-09-28,Others,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,One person found this helpful,1,Dual 4G support,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,Dual 4G support I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,dual support,purchsed item two jio sim working togeher specification given support dual sim please dove problem,dual support purchsed item two jio sim working togeher specification given support dual sim please dove problem,183,35
Trust or not trust as your wish,Mayur shingne,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Display,This product is very nice and battery life and notch display is very awesome,2 people found this helpful,2,Trust or not trust as your wish,This product is very nice and battery life and notch display is very awesome,Trust or not trust as your wish This product is very nice and battery life and notch display is very awesome,trust trust wish,product nice battery life notch display awesome,trust trust wish product nice battery life notch display awesome,108,21
Awesome fantastic jhakass. lajawaab.,Tarikul Islam,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Battery,It's very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it's small size.,One person found this helpful,1,Awesome fantastic jhakass. lajawaab.,It s very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it s small size.,Awesome fantastic jhakass. lajawaab. It s very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it s small size.,awesome fantastic jhakass lajawaab,fantastic awesome mobile nice sound quality awesome camera nice battery life awesome look think small size,awesome fantastic jhakass lajawaab fantastic awesome mobile nice sound quality awesome camera nice battery life awesome look think small size,172,28
Redmi 6 pro is best in the same money range,Gautam Roy ,5.0 out of 5 stars,5.0,on 30 September 2018,2018-09-30,Display,"Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money.", ,0,Redmi 6 pro is best in the same money range,"Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money.","Redmi 6 pro is best in the same money range Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money.",redmi pro best money range,battery life awesome including display good fast charging make extremely well good value money,redmi pro best money range battery life awesome including display good fast charging make extremely well good value money,159,29
Not value for money,Amazon Customer,3.0 out of 5 stars,3.0,on 25 September 2018,2018-09-25,Others,"Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months", ,0,Not value for money,"Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months","Not value for money Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months",value money,good phone value money prefer redmi note stock since last month,value money good phone value money prefer redmi note stock since last month,126,26
Good budget phone,Vinamra,4.0 out of 5 stars,4.0,on 1 October 2018,2018-10-01,Battery,Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast., ,0,Good budget phone,Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.,Good budget phone Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.,good budget phone,work pretty good budget phone battery life amazing camera let finger print fast,good budget phone work pretty good budget phone battery life amazing camera let finger print fast,132,25
Charger not received in the box,Avinash ,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Delivery,Charger not received in the box,One person found this helpful,1,Charger not received in the box,Charger not received in the box,Charger not received in the box Charger not received in the box,charger received box,charger received box,charger received box charger received box,63,12
Good phone,sudevan,5.0 out of 5 stars,5.0,on 30 September 2018,2018-09-30,Others,Width is little less. Still good phone. Face unlock and finger print unlocks are awasome, ,0,Good phone,Width is little less. Still good phone. Face unlock and finger print unlocks are awasome,Good phone Width is little less. Still good phone. Face unlock and finger print unlocks are awasome,good phone,width little less still good phone face unlock finger print unlocks awasome,good phone width little less still good phone face unlock finger print unlocks awasome,99,17
Nice product,Vaibhav,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Others,Nice, ,0,Nice product,Nice,Nice product Nice,nice product,nice,nice product nice,17,3
Nice performance,Amazon Customer,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup, ,0,Nice performance,Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup,Nice performance Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup,nice performance,redmi always good redmi pro performance good good bettry backup,nice performance redmi always good redmi pro performance good good bettry backup,108,20
and brand like MI.,Abinash Dash,5.0 out of 5 stars,5.0,on 29 September 2018,2018-09-29,Others,"Midrange phone with a notch...and brand like MI...
Aur kya chahiye", ,0,and brand like MI.,Midrange phone with a notch...and brand like MI... Aur kya chahiye,and brand like MI. Midrange phone with a notch...and brand like MI... Aur kya chahiye,brand like,midrange phone notch ... brand like ... aur kya chahiye,brand like midrange phone notch ... brand like ... aur kya chahiye,85,15
Missing part,Santosh,1.0 out of 5 stars,1.0,on 21 September 2018,2018-09-21,Others,disapointing,One person found this helpful,1,Missing part,disapointing,Missing part disapointing,missing part,disapointing,missing part disapointing,25,3
Not value for msny,Amazon Customer,1.0 out of 5 stars,1.0,on 21 September 2018,2018-09-21,Others,Worst phone,One person found this helpful,1,Not value for msny,Worst phone,Not value for msny Worst phone,value msny,worst phone,value msny worst phone,30,6
Powerful device,Anand bharti,5.0 out of 5 stars,5.0,on 29 September 2018,2018-09-29,Delivery,Powerful device I love mi ...thnax Amazon for quick delivery, ,0,Powerful device,Powerful device I love mi ...thnax Amazon for quick delivery,Powerful device Powerful device I love mi ...thnax Amazon for quick delivery,powerful device,powerful device love ... thnax amazon quick delivery,powerful device powerful device love ... thnax amazon quick delivery,76,12
Ok,Prashanta KN,1.0 out of 5 stars,1.0,on 28 September 2018,2018-09-28,Others,Ok,One person found this helpful,1,Ok,Ok,Ok Ok,,, ,5,2
Awesome device,RamanJakhar,5.0 out of 5 stars,5.0,on 17 September 2018,2018-09-17,Others,Top class device... No words!!!, ,0,Awesome device,Top class device... No words!!!,Awesome device Top class device... No words!!!,awesome device,top class device ... word,awesome device top class device ... word,46,7
Quality.,Pankaj kumar,4.0 out of 5 stars,4.0,on 1 October 2018,2018-10-01,Others,Mobile is good also service of Amazon is better than other like paytm., ,0,Quality.,Mobile is good also service of Amazon is better than other like paytm.,Quality. Mobile is good also service of Amazon is better than other like paytm.,quality,mobile good also service amazon better like paytm,quality mobile good also service amazon better like paytm,79,14
Aswasom,Aniket ,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Camera,"I love amezon
Good packing
Good product
Camera battry good", ,0,Aswasom,I love amezon Good packing Good product Camera battry good,Aswasom I love amezon Good packing Good product Camera battry good,aswasom,love amezon good packing good product camera battry good,aswasom love amezon good packing good product camera battry good,66,11
Awesome,Parmar kailash,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Sup up model in MI thank u .. low price best features available, ,0,Awesome,Sup up model in MI thank u .. low price best features available,Awesome Sup up model in MI thank u .. low price best features available,awesome,sup model thank low price best feature available,awesome sup model thank low price best feature available,71,14
Fully satisfied,Mishra Food N Agro,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,One of the best..... In the price range, ,0,Fully satisfied,One of the best..... In the price range,Fully satisfied One of the best..... In the price range,fully satisfied,one best ..... price range,fully satisfied one best ..... price range,55,10
Awesome phone,Amazon Customer,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Display,"Phone is good Quality Dual Camera is Very Best
Full display show good dimensions", ,0,Awesome phone,Phone is good Quality Dual Camera is Very Best Full display show good dimensions,Awesome phone Phone is good Quality Dual Camera is Very Best Full display show good dimensions,awesome phone,phone good quality dual camera best full display show good dimension,awesome phone phone good quality dual camera best full display show good dimension,94,16
Desh ka smartphone,Alok,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,One of the best of my purchases, ,0,Desh ka smartphone,One of the best of my purchases,Desh ka smartphone One of the best of my purchases,desh smartphone,one best purchase,desh smartphone one best purchase,50,10
Nice look,Amazon Customer,4.0 out of 5 stars,4.0,on 29 September 2018,2018-09-29,Display,"Nice look with notch display, but sound is little bit low..", ,0,Nice look,"Nice look with notch display, but sound is little bit low..","Nice look Nice look with notch display, but sound is little bit low..",nice look,nice look notch display sound little bit low,nice look nice look notch display sound little bit low,69,13
Nice,Pintu rai,4.0 out of 5 stars,4.0,on 30 September 2018,2018-09-30,Others,Good phone,,0,Nice,Good phone,Nice Good phone,nice,good phone,nice good phone,15,3
Overall a nice phone,anant vasantrao bhamare,3.0 out of 5 stars,3.0,on 23 September 2018,2018-09-23,Others,"Sound quality is not so good
Either way the mobile best in its segment",,0,Overall a nice phone,Sound quality is not so good Either way the mobile best in its segment,Overall a nice phone Sound quality is not so good Either way the mobile best in its segment,overall nice phone,sound quality good either way mobile best segment,overall nice phone sound quality good either way mobile best segment,91,18
Smart brand.,Amazon Customer,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Display,Display is best.,,0,Smart brand.,Display is best.,Smart brand. Display is best.,smart brand,display best,smart brand display best,29,5
Waste of money compare another phone,Praveen gurjar,1.0 out of 5 stars,1.0,on 1 October 2018,2018-10-01,Battery,Sometimes automatically speaker on and little hanging problem camera battery good.,,0,Waste of money compare another phone,Sometimes automatically speaker on and little hanging problem camera battery good.,Waste of money compare another phone Sometimes automatically speaker on and little hanging problem camera battery good.,waste money compare another phone,sometimes automatically speaker little hanging problem camera battery good,waste money compare another phone sometimes automatically speaker little hanging problem camera battery good,119,17
Great looking,Tuhin Kundu,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Battery,"Picture perfect camera
Great sound
Good battery life
Value for money",,0,Great looking,Picture perfect camera Great sound Good battery life Value for money,Great looking Picture perfect camera Great sound Good battery life Value for money,great looking,picture perfect camera great sound good battery life value money,great looking picture perfect camera great sound good battery life value money,82,13
Redmi 6 Pro,GKM,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Display,"Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.",,0,Redmi 6 Pro,"Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.","Redmi 6 Pro Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.",redmi pro,best phone notch display battery backup quality rear camera.value money,redmi pro best phone notch display battery backup quality rear camera.value money,95,15
Nice one again from xiomi...,Amazon Customer,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,Fabulous products by fabulous xiomi,,0,Nice one again from xiomi...,Fabulous products by fabulous xiomi,Nice one again from xiomi... Fabulous products by fabulous xiomi,nice one xiomi ...,fabulous product fabulous xiomi,nice one xiomi ... fabulous product fabulous xiomi,64,10
Redmi 6 pro excellent Product,Amazon Customer,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Battery,this mobile awesome.... i loved it best battery life and performance...,,0,Redmi 6 pro excellent Product,this mobile awesome.... i loved it best battery life and performance...,Redmi 6 pro excellent Product this mobile awesome.... i loved it best battery life and performance...,redmi pro excellent product,mobile awesome .... loved best battery life performance ...,redmi pro excellent product mobile awesome .... loved best battery life performance ...,101,16
Awesome,Deepan,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,Best to buy...i love it??,,0,Awesome,Best to buy...i love it??,Awesome Best to buy...i love it??,awesome,best buy ... love,awesome best buy ... love,33,6
5/4.5,manoranjan kumat,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Battery,"Battery is good
Phone is good
Camera is good
Praformens is good",,0,5 4.5,Battery is good Phone is good Camera is good Praformens is good,5 4.5 Battery is good Phone is good Camera is good Praformens is good,4.5,battery good phone good camera good praformens good,4.5 battery good phone good camera good praformens good,69,14
Great product,Sonu Bhasker,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Delivery,"Very happy with this mobile
Fast delivery got my parcel in just 22 hours",,0,Great product,Very happy with this mobile Fast delivery got my parcel in just 22 hours,Great product Very happy with this mobile Fast delivery got my parcel in just 22 hours,great product,happy mobile fast delivery got parcel hour,great product happy mobile fast delivery got parcel hour,86,16
Look like I phn x. ????????????????????,Parvinder singh,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Camera,No change in camera quality. Other functions super se v uper... ????????????,,0,Look like I phn x. ????????????????????,No change in camera quality. Other functions super se v uper... ????????????,Look like I phn x. ???????????????????? No change in camera quality. Other functions super se v uper... ????????????,look like phn,change camera quality function super uper ...,look like phn change camera quality function super uper ...,116,18
Wow phone,Ramiz Sayyed,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Awesome phone....all features available....m super happy with phone,,0,Wow phone,Awesome phone....all features available....m super happy with phone,Wow phone Awesome phone....all features available....m super happy with phone,wow phone,awesome phone .... feature available .... super happy phone,wow phone awesome phone .... feature available .... super happy phone,77,10
Good,Amazon Customer,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Battery,Sound and battery life good,,0,Good,Sound and battery life good,Good Sound and battery life good,good,sound battery life good,good sound battery life good,32,6
Thanks to Amazon,Salman,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,"Very very nice and budget smartphone good xiaomi

Thanks Amazon",,0,Thanks to Amazon,Very very nice and budget smartphone good xiaomi Thanks Amazon,Thanks to Amazon Very very nice and budget smartphone good xiaomi Thanks Amazon,thanks amazon,nice budget smartphone good xiaomi thanks amazon,thanks amazon nice budget smartphone good xiaomi thanks amazon,79,13
Awesome phone,GOURAB ROY,5.0 out of 5 stars,5.0,on 2 October 2018,2018-10-02,Battery,Good mobile.. battery backup good,,0,Awesome phone,Good mobile.. battery backup good,Awesome phone Good mobile.. battery backup good,awesome phone,good mobile battery backup good,awesome phone good mobile battery backup good,47,7
Very good desain,MAHAVIRSINH R JADEJA,3.0 out of 5 stars,3.0,on 29 September 2018,2018-09-29,Others,Sound qulity not dolby and processor performance not ok.,,0,Very good desain,Sound qulity not dolby and processor performance not ok.,Very good desain Sound qulity not dolby and processor performance not ok.,good desain,sound qulity dolby processor performance,good desain sound qulity dolby processor performance,73,12
Not A camera fone,Amazon Customer,4.0 out of 5 stars,4.0,on 29 September 2018,2018-09-29,Camera,Looking wise sexy but camera quality is not worth over all good,,0,Not A camera fone,Looking wise sexy but camera quality is not worth over all good,Not A camera fone Looking wise sexy but camera quality is not worth over all good,camera fone,looking wise sexy camera quality worth good,camera fone looking wise sexy camera quality worth good,81,16
Super phone,mahi kumar,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,This is the best phone mi phone,,0,Super phone,This is the best phone mi phone,Super phone This is the best phone mi phone,super phone,best phone phone,super phone best phone phone,43,9
Ek jakas cellphone,Amazon Customer,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,"This cellphone is good & economical , more features available",,0,Ek jakas cellphone,"This cellphone is good economical , more features available","Ek jakas cellphone This cellphone is good economical , more features available",jakas cellphone,cellphone good economical feature available,jakas cellphone cellphone good economical feature available,78,12
Awesome,Amazon Customer,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,One of best mobile compare to nokia 6 1 plus,,0,Awesome,One of best mobile compare to nokia 6 1 plus,Awesome One of best mobile compare to nokia 6 1 plus,awesome,one best mobile compare nokia plus,awesome one best mobile compare nokia plus,52,11
Redmi 6 pro reviee,Amazon Customer,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Display,Display Quality and battery backup is good,,0,Redmi 6 pro reviee,Display Quality and battery backup is good,Redmi 6 pro reviee Display Quality and battery backup is good,redmi pro reviee,display quality battery backup good,redmi pro reviee display quality battery backup good,61,11
No dual volte,Sunil kumar kulhari,1.0 out of 5 stars,1.0,on 30 September 2018,2018-09-30,Others,I'm fan MI but No dual volte.. waste of money..,,0,No dual volte,I m fan MI but No dual volte.. waste of money..,No dual volte I m fan MI but No dual volte.. waste of money..,dual volta,fan dual volta waste money,dual volta fan dual volta waste money,61,14
Product is good,Suman Bag,5.0 out of 5 stars,5.0,on 27 September 2018,2018-09-27,Battery,"This product is very good, battery backup is very good,",,0,Product is good,"This product is very good, battery backup is very good,","Product is good This product is very good, battery backup is very good,",product good,product good battery backup good,product good product good battery backup good,71,13
nice phone,Abhinav more,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,In this budget phone is good and Sound quality is also awesome,,0,nice phone,In this budget phone is good and Sound quality is also awesome,nice phone In this budget phone is good and Sound quality is also awesome,nice phone,budget phone good sound quality also awesome,nice phone budget phone good sound quality also awesome,73,14
Best smartphone,Pradeep kumar,5.0 out of 5 stars,5.0,on 1 October 2018,2018-10-01,Others,I use this phone and I like all quality,,0,Best smartphone,I use this phone and I like all quality,Best smartphone I use this phone and I like all quality,best smartphone,use phone like quality,best smartphone use phone like quality,55,11
Best quality phone,Rehan shaikh ,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,Best notch light weight phon.,,0,Best quality phone,Best notch light weight phon.,Best quality phone Best notch light weight phon.,best quality phone,best notch light weight phon,best quality phone best notch light weight phon,48,8
Looking osm,Amazon Customer,4.0 out of 5 stars,4.0,on 28 September 2018,2018-09-28,Camera,"Nice product and durability also good..
Best for camera's",,0,Looking osm,Nice product and durability also good.. Best for camera s,Looking osm Nice product and durability also good.. Best for camera s,looking osm,nice product durability also good best camera,looking osm nice product durability also good best camera,69,12
Battery,Bilal Ahmed,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,The Product is Bulky would have bring the weight down,,0,Battery,The Product is Bulky would have bring the weight down,Battery The Product is Bulky would have bring the weight down,battery,product bulky would bring weight,battery product bulky would bring weight,61,11
Good,P.T.Hanuman,4.0 out of 5 stars,4.0,on 26 September 2018,2018-09-26,Camera,Camera is good,,0,Good,Camera is good,Good Camera is good,good,camera good,good camera good,19,4
Good,sameer,4.0 out of 5 stars,4.0,on 19 September 2018,2018-09-19,Others,Good mm??????,,0,Good,Good mm??????,Good Good mm??????,good,good,good good,18,3
Good,RAM,4.0 out of 5 stars,4.0,on 23 September 2018,2018-09-23,Others,I didn't get 500/- discount . Buy through HDFC bank,,0,Good,I didn t get 500 discount . Buy through HDFC bank,Good I didn t get 500 discount . Buy through HDFC bank,good,get 500 discount buy hdfc bank,good get 500 discount buy hdfc bank,54,12
Gud Phone,Al Mustaq,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,Better phone,,0,Gud Phone,Better phone,Gud Phone Better phone,gud phone,better phone,gud phone better phone,22,4
Good,Amazon Customer,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,Good,,0,Good,Good,Good Good,good,good,good good,9,2
Nyc,gaurav kumar,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Good,,0,Nyc,Good,Nyc Good,nyc,good,nyc good,8,2
Good,Darshan V,5.0 out of 5 stars,5.0,on 27 September 2018,2018-09-27,Others,Good,,0,Good,Good,Good Good,good,good,good good,9,2
Np,Y2 user,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Good phone,,0,Np,Good phone,Np Good phone,,good phone, good phone,13,3
Sound v acha nhi hai,Md shahab,4.0 out of 5 stars,4.0,on 23 September 2018,2018-09-23,Camera,Front camera low hai cost jyada hair 9999 take think tha,,0,Sound v acha nhi hai,Front camera low hai cost jyada hair 9999 take think tha,Sound v acha nhi hai Front camera low hai cost jyada hair 9999 take think tha,sound acha nhi hai,front camera low hai cost jyada hair 9999 take think tha,sound acha nhi hai front camera low hai cost jyada hair 9999 take think tha,77,16
A good product from MI at an affordable price tag.,Amazon Customer,4.0 out of 5 stars,4.0,on 30 September 2018,2018-09-30,Others,Overall the product build and handling quality is good.,,0,A good product from MI at an affordable price tag.,Overall the product build and handling quality is good.,A good product from MI at an affordable price tag. Overall the product build and handling quality is good.,good product affordable price tag,overall product build handling quality good,good product affordable price tag overall product build handling quality good,106,19
Love this product,Deepak kumar,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Wonderful phone.....,,0,Love this product,Wonderful phone.....,Love this product Wonderful phone.....,love product,wonderful phone .....,love product wonderful phone .....,38,5
Good,Jay,3.0 out of 5 stars,3.0,on 20 September 2018,2018-09-20,Others,Low pictures clarity,,0,Good,Low pictures clarity,Good Low pictures clarity,good,low picture clarity,good low picture clarity,25,4
Good,Uttam singh,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Others,Hello,,0,Good,Hello,Good Hello,good,hello,good hello,10,2
Very good,Jalindar dhondabare,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Others,Good quality,,0,Very good,Good quality,Very good Good quality,good,good quality,good good quality,22,4
Awesome,Upender,5.0 out of 5 stars,5.0,on 30 September 2018,2018-09-30,Delivery,Fast delivery great,,0,Awesome,Fast delivery great,Awesome Fast delivery great,awesome,fast delivery great,awesome fast delivery great,27,4
Best budget phone,Akash Sharma,5.0 out of 5 stars,5.0,on 2 October 2018,2018-10-02,Others,This phone is simply awesome in this price range??,,0,Best budget phone,This phone is simply awesome in this price range??,Best budget phone This phone is simply awesome in this price range??,best budget phone,phone simply awesome price range,best budget phone phone simply awesome price range,68,12
Superb,Rishad,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,Good,,0,Superb,Good,Superb Good,superb,good,superb good,11,2
Good job Amazon,Shashikumar,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Others,One of the best phone under 12k.,,0,Good job Amazon,One of the best phone under 12k.,Good job Amazon One of the best phone under 12k.,good job amazon,one best phone 12k,good job amazon one best phone 12k,48,10
Value for money,THAMIZH ARASU,4.0 out of 5 stars,4.0,on 26 September 2018,2018-09-26,Others,Nice mobile in this price range,,0,Value for money,Nice mobile in this price range,Value for money Nice mobile in this price range,value money,nice mobile price range,value money nice mobile price range,47,9
Good product,Aakash,5.0 out of 5 stars,5.0,on 27 September 2018,2018-09-27,Others,Awesome product,,0,Good product,Awesome product,Good product Awesome product,good product,awesome product,good product awesome product,28,4
Average,pradeep k,3.0 out of 5 stars,3.0,on 21 September 2018,2018-09-21,Others,Average,,0,Average,Average,Average Average,average,average,average average,15,2
Excellent.,Mohd Nazeer,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Display,Excellent mobile good display quality,,0,Excellent.,Excellent mobile good display quality,Excellent. Excellent mobile good display quality,excellent,excellent mobile good display quality,excellent excellent mobile good display quality,48,6
Sound speaker is not working,Janardhan,1.0 out of 5 stars,1.0,on 22 September 2018,2018-09-22,Others,Out of 2 only 1 speaker is working from day 1,,0,Sound speaker is not working,Out of 2 only 1 speaker is working from day 1,Sound speaker is not working Out of 2 only 1 speaker is working from day 1,sound speaker working,speaker working day,sound speaker working speaker working day,74,16
Amazing,Emad choudhury,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Delivery,"Value for money...
Dislike late delivery",,0,Amazing,Value for money... Dislike late delivery,Amazing Value for money... Dislike late delivery,amazing,value money ... dislike late delivery,amazing value money ... dislike late delivery,48,7
Bad service for return,GAURANG T.Nakarani,1.0 out of 5 stars,1.0,on 27 September 2018,2018-09-27,Others,Bad facility for replacement,,0,Bad service for return,Bad facility for replacement,Bad service for return Bad facility for replacement,bad service return,bad facility replacement,bad service return bad facility replacement,51,8
I've fallen in love!,Aahil Asad Ahmad ,5.0 out of 5 stars,5.0,on 24 September 2018,2018-09-24,Others,I've fallen in love!,,0,I ve fallen in love!,I ve fallen in love!,I ve fallen in love! I ve fallen in love!,fallen love,fallen love,fallen love fallen love,41,10
Poor,Rishab tripathi,3.0 out of 5 stars,3.0,on 30 September 2018,2018-09-30,Others,Poor,,0,Poor,Poor,Poor Poor,poor,poor,poor poor,9,2
Good,Suraj,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Others,Good,,0,Good,Good,Good Good,good,good,good good,9,2
Not value of money.,Jaydeep Parikh ,1.0 out of 5 stars,1.0,on 25 September 2018,2018-09-25,Others,worst product ever. don't buy it.,,0,Not value of money.,worst product ever. don t buy it.,Not value of money. worst product ever. don t buy it.,value money,worst product ever buy,value money worst product ever buy,53,11
Excellent,Mahesha,5.0 out of 5 stars,5.0,on 27 September 2018,2018-09-27,Others,"Awesome mobile, value of money...",,0,Excellent,"Awesome mobile, value of money...","Excellent Awesome mobile, value of money...",excellent,awesome mobile value money ...,excellent awesome mobile value money ...,43,6
Gud,Imtiyaz,5.0 out of 5 stars,5.0,on 1 October 2018,2018-10-01,Others,Nice phn,,0,Gud,Nice phn,Gud Nice phn,gud,nice phn,gud nice phn,12,3
battery life good,Hardeep singh,4.0 out of 5 stars,4.0,on 22 September 2018,2018-09-22,Display,notch. display better,,0,battery life good,notch. display better,battery life good notch. display better,battery life good,notch display better,battery life good notch display better,39,6
Better bakup osm,Amazon Customer,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Nice products ?? . . .,,0,Better bakup osm,Nice products ?? . . .,Better bakup osm Nice products ?? . . .,better bakup osm,nice product,better bakup osm nice product,39,9
waste of money,Rameez Rashid Parray,1.0 out of 5 stars,1.0,on 29 September 2018,2018-09-29,Others,waste of money,,0,waste of money,waste of money,waste of money waste of money,waste money,waste money,waste money waste money,29,6
Amazing,Ritesh verma,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Nice and super mobile,,0,Amazing,Nice and super mobile,Amazing Nice and super mobile,amazing,nice super mobile,amazing nice super mobile,29,5
best phone in budget,mohammed imroz,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Others,awosome phone,,0,best phone in budget,awosome phone,best phone in budget awosome phone,best phone budget,awosome phone,best phone budget awosome phone,34,6
Battery life,Aman Rana,4.0 out of 5 stars,4.0,on 25 September 2018,2018-09-25,Others,Phone system is nice,,0,Battery life,Phone system is nice,Battery life Phone system is nice,battery life,phone system nice,battery life phone system nice,33,6
Very nice,Shiva,4.0 out of 5 stars,4.0,on 18 September 2018,2018-09-18,Others,Mobile is very nice.,,0,Very nice,Mobile is very nice.,Very nice Mobile is very nice.,nice,mobile nice,nice mobile nice,30,6
Good,yahoo,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Others,Good Product,,0,Good,Good Product,Good Good Product,good,good product,good good product,17,3
Must buy,Amazon Customer,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,Great phone@,,0,Must buy,Great phone,Must buy Great phone,must buy,great phone,must buy great phone,20,4
Super farfamens,SambasivaraoAmazon Customer,3.0 out of 5 stars,3.0,on 29 September 2018,2018-09-29,Others,Nice mobaile,,0,Super farfamens,Nice mobaile,Super farfamens Nice mobaile,super farfamens,nice mobaile,super farfamens nice mobaile,28,4
Amazing,Himanshu,5.0 out of 5 stars,5.0,on 21 September 2018,2018-09-21,Others,Mind blowing,,0,Amazing,Mind blowing,Amazing Mind blowing,amazing,mind blowing,amazing mind blowing,20,3
Camera,Friends ,5.0 out of 5 stars,5.0,on 30 September 2018,2018-09-30,Others,Nice product,,0,Camera,Nice product,Camera Nice product,camera,nice product,camera nice product,19,3
Nice,Arpan patel,5.0 out of 5 stars,5.0,on 23 September 2018,2018-09-23,Others,Like,,0,Nice,Like,Nice Like,nice,like,nice like,9,2
.,PRINCE KUMAR GUPTA,4.0 out of 5 stars,4.0,on 23 September 2018,2018-09-23,Others,Nice,,0,.,Nice,. Nice,,nice, nice,6,2
"Good, very good",Bivash das,5.0 out of 5 stars,5.0,on 22 September 2018,2018-09-22,Others,Good product Amazon,,0,"Good, very good",Good product Amazon,"Good, very good Good product Amazon",good good,good product amazon,good good good product amazon,35,6
