Review Title,Customer name,Rating_Numeric,Combined_Text,Short_Summary,Detailed_Summary,Extractive_Summary,Word_Count
Awesome product,Debashis Das,5.0,Awesome product awesome product at this range,Awesome product awesome product at this range,Awesome product awesome product at this range,Awesome product awesome product at this range,7
08-Oct,Braveheartboy_vinai,4.0,"08 Oct Very nice looks , smooth operation , camera could have been better","08 Oct Very nice looks , smooth operation , camera could have been better . camera could be better if it had been able to get a better image .","08 Oct Very nice looks , smooth operation , camera could have been better . camera could be better if it had been able to get a better image . i'm not sure if the camera was a good one .","08 Oct Very nice looks , smooth operation , camera could have been better",14
Nice handy phone with good camera with notch,Abhishek Gupta,4.0,Nice handy phone with good camera with notch Like every things but fullscreen video playing option is not available in default player...,nice handy phone with good camera with notch Like every things but fullscreen video playing option is not available in default player...,nice handy phone with good camera with notch Like every things but fullscreen video playing option is not available in default player . nice phone with nice camera with good notch like everything but full screen video playing options are not available .,Nice handy phone with good camera with notch Like every things but fullscreen video playing option is not available in default player...,22
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0,"dont buy these product. these copy of the product Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.","i have 3 mobile of MI but i did not face these type of issue . mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth.","i have 3 mobile of MI but i did not face these type of issue . mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth .",these copy of the product Please don t buy these product.. dont buy these product.,62
Thanks alot Amazon,sonu,5.0,"Thanks alot Amazon Thanks alot Amazon,ecom seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom MI.","thanks alot amazon Thanks a lot amazon,ecom seller . perfect product no compromise in quality, good battery backup .","thanks alot amazon Thanks a lot amazon,ecom seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.","Thanks alot Amazon Thanks alot Amazon,ecom seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom MI.",37
Pros and cons,Amazon Customer,5.0,Pros and cons No company can provide u these features Pros AWESOME display Great video stablisation Great battery Great performance Looks beatifull Cons Okk front camera not very bad considering price,Pros and cons No company can provide u these features Pros AWESOME display Great video stablisation Great battery Great performance Looks beatifull Cons Okk front camera not very bad considering price .,Pros and cons No company can provide u these features Pros AWESOME display Great video stablisation Great battery Great performance Looks beatifull Cons Okk front camera not very bad considering price .,Pros and cons No company can provide u these features Pros AWESOME display Great video stablisation Great battery Great performance Looks beatifull Cons Okk front camera not very bad considering price,31
Design can be better,Rahul Mhatre,3.0,Design can be better The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,design can be better The product is great with quite good features . I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design.,design can be better The product is great with quite good features . I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design . Xiaomi has to be more creative to attract more indian customers .,I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design.,74
Mi 6pro review,darpan n parekh,3.0,Mi 6pro review Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,mi 6pro review Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect .,mi 6pro review Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect . review camera clarity isn't good compared to expected .,Mi 6pro review Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,23
Best phone u can get in this and within 20k budget,Amazon Customer,5.0,Best phone u can get in this and within 20k budget Superb job by Xiaomi Handy phone. Not huge size not slippery. Better battery display processing speed. Overall its the best phone.,best phone u can get in this and within 20k budget Superb job by Xiaomi Handy phone. Not huge size not slippery. Better battery display processing speed. Overall its the best phone.,best phone u can get in this and within 20k budget Superb job by Xiaomi Handy phone. Not huge size not slippery. Better battery display processing speed. Overall its the best phone.,Overall its the best phone. Best phone u can get in this and within 20k budget Superb job by Xiaomi Handy phone.,32
Superb Phone. Good for Performance.,Tharun,5.0,Superb Phone. Good for Performance. Good phone at such a valuable price. Notch display. Value for money,Superb Phone. Good for Performance. Good phone at such a valuable price . value for money.,Superb Phone. Good for performance. Good phone at such a valuable price . value for money. good phone at a value of £100 a year . good for performance .,Good for Performance. Good phone at such a valuable price.,17
Nice,Rohit Mengal,5.0,Nice Good phone,Nice Good phone,Nice Good phone,Nice Good phone,3
Fantastic,RAHEEL,5.0,"Fantastic Great product, fully met my expectations....","Fantastic Great product, fully met my expectations . fantastic great product, complete with a great price .","Fantastic Great product, fully met my expectations . fantastic great product, complete with a great price . great product . the price is very reasonable and the product is a must .","Fantastic Great product, fully met my expectations....",7
Good,rajkumar kumawat,4.0,Good Good,Good Good,Good Good,Good Good,2
Not good as expected,Bidyut Majumder,1.0,Not good as expected Do not buy.,Not good as expected Do not buy.,Not good as expected Do not buy.,Not good as expected Do not buy.,7
High thinker,Joshi Dharmesh kumar,2.0,High thinker No dual 4g if you think new mobile you buy realme 1,high thinker No dual 4g if you think new mobile you buy realme 1 .,high thinker No dual 4g if you think new mobile you buy realme 1 . realme . 1 is the cheapest mobile . . it's a 'realme' .,High thinker No dual 4g if you think new mobile you buy realme 1,14
good phone,ANUPOM BHUNIYA,5.0,good phone very good phone of this budget......red colour very beautiful,good phone very good phone of this budget......red colour very beautiful phone of red colour .,good phone very good phone of this budget......red colour very beautiful phone of red colour very nice phone of the budget . good phone for this budget - a good phone . a great phone of a budget.,good phone very good phone of this budget......red colour very beautiful,11
Good service,Manowar,4.0,Good service Nice product. Delivery guy also.,Good service Nice product. Delivery guy also.,Good service Nice product. Delivery guy also.,Good service Nice product. Delivery guy also.,7
Bad camera,JAWED HUSSAIN,2.0,Bad camera Bad camera quality and heating problem,Bad camera Bad camera quality and heating problem,Bad camera Bad camera quality and heating problem,Bad camera Bad camera quality and heating problem,8
Good phone in budget,Amazon Customer,4.0,"Good phone in budget Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.","good camera,battery and performance for normal use . call sound is very good .","good camera,battery and performance for normal use . call sound is very good . good phone in budget. good camera and performance . a good phone with good camera .",Good phone in budget Good phone in budget. Call sound is very good.,20
Redmi Pro 6,Amazon Customer,3.0,"Redmi Pro 6 Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",redmi Pro 6 Awesome sound quality . battery life is good . gaming is good no lags there .,"redmi Pro 6 Awesome sound quality , battery life is good . gaming is good no lags there . good camera if you r buying for a phone the m this is not the one .","Redmi Pro 6 Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",44
Best Mobile in this price category.,Rahul.K.R,4.0,"Best Mobile in this price category. Nice mobile, battery backup is good, camera gud, one limitation is front camera 5 no, slim light weight mobile","best mobile in this price category . nice mobile, battery backup is good, camera gud, one limitation is front camera 5 no, slim light weight mobile.","best mobile in this price category . nice mobile, battery backup is good, camera gud, one limitation is front camera 5 no, slim light weight mobile . good mobile, good battery backup .","Best Mobile in this price category. Nice mobile, battery backup is good, camera gud, one limitation is front camera 5 no, slim light weight mobile",25
THIK THAK.,Sudipto Ghosh,4.0,THIK THAK. Like everything besides display.,THIK THAK. Like everything besides display.,THIK THAK. Like everything besides display.,THIK THAK. Like everything besides display.,6
Upto You,CHANDRESH KHUNTIA,3.0,Upto You A Bit Pricey compared to the competitors. Nice and Sleek body feels Good on Hand. Overall Performance Is good Enough less heat compered to mi redmi devices.,upto You A Bit Pricey compared to the competitors . Nice and Sleek body feels Good on Hand .,upto You A Bit Pricey compared to the competitors . Nice and Sleek body feels Good on Hand . Overall Performance Is good Enough less heat compered to mi redmi devices .,Overall Performance Is good Enough less heat compered to mi redmi devices. Nice and Sleek body feels Good on Hand.,29
Batytery is not good mentioned 4000mah but not good,Amazon Customer,1.0,Batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good,batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good .,"batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good . if you have a camera, it is a good camera .",Batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good,22
Best phone with notch in this price,Amazon Customer,4.0,"Best phone with notch in this price Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight. Handy phone small size full screen.","best phone with notch in this price Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight.","best phone with notch in this price Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight . Handy phone small size full screen .","Best phone with notch in this price Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight. Handy phone small size full screen.",37
Quality is not good,Vamshi Vadikari,1.0,Quality is not good Worst phone from MI and Amazon Touch was not good and didnot working as expected Without touching the screen click is happening and unnecessary apps are opening,quality is not good Worst phone from MI and amazon Touch was not good and did not working as expected Without touching the screen click is happening and unnecessary apps are opening .,quality is not good Worst phone from MI and amazon Touch was not good and did not working as expected Without touching the screen click is happening . unnecessary apps are opening and opening .,Quality is not good Worst phone from MI and Amazon Touch was not good and didnot working as expected Without touching the screen click is happening and unnecessary apps are opening,31
Weste of money,......,1.0,Weste of money Both Camera quality is bed.its price is too high and quality are lowest.,both camera quality is bed.its price is too high and quality are lowest . the price of the camera is too low .,"both camera quality is bed.its price is too high and quality are lowest . the price of the camera is too low and the quality is very low . if you are looking for a camera, it's a good choice .",Weste of money Both Camera quality is bed.its price is too high and quality are lowest.,16
Dual 4G support,Manoj Kumar,1.0,Dual 4G support I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,dual 4G support I have purchsed this item and two jio sim are not working togeher . but in specification it is given that it supports dual 4g sim .,dual 4G support I have purchsed this item and two jio sim are not working togeher . but in specification it is given that it supports dual 4g sim .,But in specification it is given that it supports dual 4g sim. Dual 4G support I have purchsed this item and two jio sim are not working togeher.,35
Trust or not trust as your wish,Mayur shingne,5.0,Trust or not trust as your wish This product is very nice and battery life and notch display is very awesome,trust or not trust as your wish This product is very nice and battery life and notch display is very awesome .,trust or not trust as your wish This product is very nice and battery life and notch display is very awesome . it is a very nice product and has a great battery life .,Trust or not trust as your wish This product is very nice and battery life and notch display is very awesome,21
Awesome fantastic jhakass. lajawaab.,Tarikul Islam,5.0,Awesome fantastic jhakass. lajawaab. It s very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it s small size.,jhakass. lajawaab is a fantastic mobile and nice sound quality .,"jhakass. lajawaab is a fantastic mobile and nice sound quality . nice battery life. nice camera . good battery life . great camera. Nice battery life, nice sound .",It s very fantastic awesome mobile and nice sound quality. Awesome fantastic jhakass.,28
Redmi 6 pro is best in the same money range,Gautam Roy ,5.0,"Redmi 6 pro is best in the same money range Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money.",Redmi 6 pro is best in the same money range Battery life is awesome . fast charging makes it extremely well .,"Redmi 6 pro is best in the same money range Battery life is awesome including display is too good, fast charging makes it extremely well . good value for money . a good battery life .","Redmi 6 pro is best in the same money range Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money.",29
Not value for money,Amazon Customer,3.0,"Not value for money Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months",Prefer Redmi note 5 over this but was not in stock since last 2 months . not value for money Good phone but not worth for money .,"Prefer Redmi note 5 over this but was not in stock since last 2 months . not value for money Good phone but not worth for money, Prefer redmi notes 5 .","Not value for money Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months",26
Good budget phone,Vinamra,4.0,Good budget phone Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.,good budget phone Works pretty good for a budget phone. battery life is amazing but camera is a let down .,"good budget phone Works pretty good for a budget phone . battery life is amazing but camera is a let down . Finger print is very fast . if you have any questions, please contact us .",Finger print is very fast. Battery life is amazing but camera is a let down.,25
Charger not received in the box,Avinash ,5.0,Charger not received in the box Charger not received in the box,charger not received in the box Charger not receiving in the boxes . not received by the box charger .,charger not received in the box Charger not receiving in the boxes . not received by the box charger . the box charges not received a charger in the . box .,Charger not received in the box Charger not received in the box,12
Good phone,sudevan,5.0,Good phone Width is little less. Still good phone. Face unlock and finger print unlocks are awasome,good phone Width is little less . face unlock and finger print unlocks are awasome .,"good phone Width is little less. still good phone . face unlock and finger print unlocks are awasome . if you're looking for a phone, contact us today .",Still good phone. Good phone Width is little less.,17
Nice product,Vaibhav,5.0,Nice product Nice,Nice product Nice,Nice product Nice,Nice product Nice,3
Nice performance,Amazon Customer,5.0,Nice performance Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup,nice performance Redmi is always good for me . good Bettry backup and good backup backup .,nice performance Redmi is always good for me . good Bettry backup and good backup backup . nice performance for me and good redmi 6 pro performance is very good and good .,Nice performance Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup,20
and brand like MI.,Abinash Dash,5.0,and brand like MI. Midrange phone with a notch...and brand like MI... Aur kya chahiye,midrange phone with a notch...and brand like MI... Aur kya chahiye .,midrange phone with a notch...and brand like MI... Aur kya chahiye brand likes the phone . a new phone is available in the u.s. and europe .,and brand like MI. Midrange phone with a notch...and brand like MI... Aur kya chahiye,15
Missing part,Santosh,1.0,Missing part disapointing,Missing part disapointing,Missing part disapointing,Missing part disapointing,3
Not value for msny,Amazon Customer,1.0,Not value for msny Worst phone,Not value for msny Worst phone,Not value for msny Worst phone,Not value for msny Worst phone,6
Powerful device,Anand bharti,5.0,Powerful device Powerful device I love mi ...thnax Amazon for quick delivery,Powerful device I love mi ...thnax amazon for quick delivery . amazon has a great deal of free shipping .,Powerful device I love mi ...thnax amazon for quick delivery . amazon has a great deal of great deals on amazon . i love mi and amazon are the best sellers in the world .,Powerful device Powerful device I love mi ...thnax Amazon for quick delivery,12
Ok,Prashanta KN,1.0,Ok Ok,Ok Ok,Ok Ok,Ok Ok,2
Awesome device,RamanJakhar,5.0,Awesome device Top class device... No words!!!,Awesome device Top class device... No words!!!,Awesome device Top class device... No words!!!,Awesome device Top class device... No words!!!,7
Quality.,Pankaj kumar,4.0,Quality. Mobile is good also service of Amazon is better than other like paytm.,mobile is good also service of amazon is better than other like paytm . amazon is good service of mobile .,"mobile is good also service of amazon is better than other like paytm . amazon has a good mobile service and a great mobile service . if you are looking for a mobile service, you can check out our website .",Quality. Mobile is good also service of Amazon is better than other like paytm.,14
Aswasom,Aniket ,5.0,Aswasom I love amezon Good packing Good product Camera battry good,aswasom I love amezon Good packing Good product Camera battry good .,aswasom I love amezon Good packing Good product Camera battry good . good product . nice camera battry nice . . great product. good quality .,Aswasom I love amezon Good packing Good product Camera battry good,11
Awesome,Parmar kailash,5.0,Awesome Sup up model in MI thank u .. low price best features available,awesome Sup up model in MI thank u .. low price best features available .,awesome Sup up model in MI thank u .. low price best features available . a great price for a low price model . the best features are available in .,Awesome Sup up model in MI thank u .. low price best features available,14
Fully satisfied,Mishra Food N Agro,5.0,Fully satisfied One of the best..... In the price range,Fully satisfied One of the best..... In the price range in the prices ranges from £20 to £20 .,"Fully satisfied One of the best..... In the price range in the prices ranges from £20 to £20 a month . if you have any questions, please contact us for more information on our website.",Fully satisfied One of the best..... In the price range,10
Awesome phone,Amazon Customer,5.0,Awesome phone Phone is good Quality Dual Camera is Very Best Full display show good dimensions,Awesome phone Phone is good Quality Dual Camera is Very Best Full display show good dimensions . good quality dual camera is very best full display .,Awesome phone Phone is good Quality Dual Camera is Very Best Full display show good dimensions . good quality dual camera is very best full display . great phone phone phone is good quality and good quality .,Awesome phone Phone is good Quality Dual Camera is Very Best Full display show good dimensions,16
Desh ka smartphone,Alok,5.0,Desh ka smartphone One of the best of my purchases,Desh ka smartphone One of the best of my purchases,Desh ka smartphone One of the best of my purchases,Desh ka smartphone One of the best of my purchases,10
Nice look,Amazon Customer,4.0,"Nice look Nice look with notch display, but sound is little bit low..","nice look Nice look with notch display, but sound is little bit low . sound is a bit low.","nice look Nice look with notch display, but sound is little bit low . sound is a bit low, but it's a little bit of a noisey look .","Nice look Nice look with notch display, but sound is little bit low..",13
Nice,Pintu rai,4.0,Nice Good phone,Nice Good phone,Nice Good phone,Nice Good phone,3
Overall a nice phone,anant vasantrao bhamare,3.0,Overall a nice phone Sound quality is not so good Either way the mobile best in its segment,overall a nice phone Sound quality is not so good Either way the mobile best in its segment .,overall a nice phone Sound quality is not so good Either way the mobile best in its segment is not the best . the best phone in the segment is a phone with a good sound quality .,Overall a nice phone Sound quality is not so good Either way the mobile best in its segment,18
Smart brand.,Amazon Customer,5.0,Smart brand. Display is best.,Smart brand. Display is best.,Smart brand. Display is best.,Smart brand. Display is best.,5
Waste of money compare another phone,Praveen gurjar,1.0,Waste of money compare another phone Sometimes automatically speaker on and little hanging problem camera battery good.,waste of money compare another phone Sometimes automatically speaker on and little hanging problem camera battery good .,"waste of money compare another phone Sometimes automatically speaker on and little hanging problem camera battery good . if you have a problem with your phone, it's a good idea to compare a phone .",Waste of money compare another phone Sometimes automatically speaker on and little hanging problem camera battery good.,17
Great looking,Tuhin Kundu,5.0,Great looking Picture perfect camera Great sound Good battery life Value for money,great looking Picture perfect camera Great sound Good battery life Value for money . great looking picture perfect camera .,great looking Picture perfect camera Great sound Good battery life Value for money . great looking picture perfect camera great sound good battery life . good sound good batteries life value for money for money value .,Great looking Picture perfect camera Great sound Good battery life Value for money,13
Redmi 6 Pro,GKM,5.0,"Redmi 6 Pro Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.","Redmi 6 Pro Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for money.","Redmi 6 Pro Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for money . a great deal of money to spend on the phone .","Redmi 6 Pro Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.",15
Nice one again from xiomi...,Amazon Customer,5.0,Nice one again from xiomi... Fabulous products by fabulous xiomi,fabulous products by fabulous xiomi . great products . . fantastic products by fantastic xyomis .,fabulous products by fabulous xiomi . great products . . fantastic products by fantastic xisiami... . nice one again from xymi! .,Nice one again from xiomi... Fabulous products by fabulous xiomi,10
